definition_id,domain,rule_or_group,level,field_or_codes,operation,threshold_or_priority,denominator_role,notes,source_layout
COHORT-A,cohort,A,record,record-axis roots include K80,resident record with >=1 record-axis ICD code whose first 3 characters are K80,record_n positions 1..20; K80 root,A denominator,"Record-axis coding cohort, not literal certificate mentions.",record_n + record_block
COHORT-B,cohort,B,record,A and UCD root K80,A record whose single UCD code begins K80,UCD field exact root K80,B numerator,B is nested in A by construction.,ucd_code
COHORT-RES,cohort,resident,record,"resident_status in {1,2,3}",retain resident deaths only,"codes 1,2,3",analysis universe,Malformed lengths and nonresidents are excluded before A/B classification.,resident_status
SEV-1,severity,acute_cholecystitis,K80 subtype,K80.0,mutually exclusive subtype priority,priority 2 (after K80.3),within-A stratum,"Exact four-character K80.0; the established priority is K80.3, K80.0, K80.4, K80.1, K80.5, K80.2, K80.8.",record-axis K80 codes
SEV-2,severity,cholangitis,K80 subtype,K80.3,mutually exclusive subtype priority,priority 1,within-A stratum,Exact four-character K80.3; highest priority in the established subtype order.,record-axis K80 codes
SEV-3,severity,other_cholecystitis,K80 subtype,K80.1; K80.4,mutually exclusive subtype priority,K80.4 priority 3; K80.1 priority 4,within-A stratum,K80.1 and K80.4 are combined after applying the established order.,record-axis K80 codes
SEV-4,severity,without_cholecystitis,K80 subtype,K80.2; K80.5,mutually exclusive subtype priority,K80.5 priority 5; K80.2 priority 6,within-A stratum,K80.2 and K80.5 are combined after applying the established order.,record-axis K80 codes
SEV-5,severity,other_or_unspecified,K80 subtype,K80.8; other/blank K80 suffix,fallback after specified subtype codes,priority 7/fallback,within-A stratum,"Sparse or unspecified K80 records retained; exact priority order is K80.3, K80.0, K80.4, K80.1, K80.5, K80.2, K80.8.",record-axis K80 codes
ENT-1,entity_part,Part_I_only,entity status,K80 in Part I and not Part II,evaluate all entity positions,status set={I},within-A stratum,"Part assignment is from entity axis, not record-axis order.",entity_n + entity_block; 7-character positions
ENT-2,entity_part,Part_II_only,entity status,K80 in Part II and not Part I,evaluate all entity positions,status set={II},within-A stratum,Part II indicator is 6.,entity_n + entity_block; 7-character positions
ENT-3,entity_part,Both,entity status,K80 in Part I and Part II,evaluate all entity positions,"status set={I,II}",within-A stratum or exclusion,Key dual-location sensitivity target; expected total 337.,entity_n + entity_block; 7-character positions
ENT-4,entity_part,entity_no_K80,entity status,no entity-axis K80 among A,evaluate all entity positions,empty K80 set,within-A stratum,Record-axis K80 can occur without entity-axis K80; expected total 2.,entity_n + entity_block; 7-character positions
ENT-5,entity_part,entity_unknown,entity status,K80 with unknown Part indicator,retain explicit unknown status,unknown indicator,within-A stratum,Should be zero under the scanned public-use layouts.,entity_n + entity_block; 7-character positions
PART-1,part_rule,Part_I_priority,strategy,Both -> Part_I,assign Both to Part I; retain all A,Part I precedence,all A retained,Part II-only remains Part II; entity-no-K80 is retained.,ENT-1..ENT-5
PART-2,part_rule,Part_II_priority,strategy,Both -> Part_II,assign Both to Part II; retain all A,Part II precedence,all A retained,Part I-only remains Part I; entity-no-K80 is retained.,ENT-1..ENT-5
PART-3,part_rule,Both_separate,strategy,Part I-only; Part II-only; Both; entity_no_K80,retain four mutually exclusive statuses,no priority,all A retained,Both displayed as a separate stratum.,ENT-1..ENT-5
PART-4,part_rule,Both_excluded,strategy,Both excluded,remove Both from numerator and denominator; retain other A,exclude status=Both,A/B denominator excludes Both,Sensitivity only; primary cohort unchanged.,ENT-1..ENT-5
CMP-1,complexity,record_n,certificate complexity,record_n,count raw record-axis ICD positions,1; 2; 3-4; 5-9; 10+; unknown,within-A stratum,Original manuscript counter; bounded to 20 NCHS record positions.,record_n + record_block
CMP-2,complexity,unique_record_axis_icd,certificate complexity,distinct normalized nonblank record-axis ICD codes,"deduplicate first record_n codes, then count",1; 2; 3-4; 5-9; 10+; unknown,within-A stratum,Sensitivity for repeated ICD codes.,record_n + record_block
CMP-3,complexity,unknown,certificate complexity,nonpositive or invalid count,assign unknown; retain denominator,count <=0 or unavailable,within-A stratum,No record silently dropped for complexity failure.,record_n + record_block
KIT-1,decomposition,Kitagawa,accounting,w_g and p_g,0.5*(p0+p1)*(w1-w0) + 0.5*(w0+w1)*(p1-p0),1999/2024 and 2018/2024,descriptive identity,Components are not causal mediation; residual must be <1e-10.,aggregate A/B by group
