analysis_component,analysis_family,design_or_revision_stage,freeze_or_execution_date,was_relevant_K80_result_seen_before_component_freeze,confirmatory_status,scope_and_deviation,primary_output_or_source,interpretation_boundary
Core cohort A/B/UCF,primary estimand,original K80 analysis; retained in revision,original freeze documented before revision review,Yes,primary descriptive estimand,"A=record-axis K80-coded resident death; B=A with UCD K80. The original definition was retained; A-union-official-UCD-K80 is sensitivity only.",cohort_annual_flow.csv; k80_annual_main.csv,"Recorded statistical fields only; not clinical truth or an error count."
Direct age-sex standardization,primary estimand,revision-stage design,2026-08-22; frozen before revised reanalysis,Yes,revision-stage primary analysis,"Added fixed 2018-2024 K80 age-sex weights and fixed support rule. This was not claimed as original preregistration.",k80_standardized_annual.csv; k80_standardized_contrasts.csv,"Conditional on record-axis K80 and frozen empirical weights."
Interaction diagnostics,model-form diagnostic,revision-stage design,2026-08-22; frozen before revised reanalysis,Yes,revision-stage diagnostic,"Added to assess whether model-based homogeneous time effects were appropriate; does not replace empirical direct standardization.",interaction_model_diagnostics.csv,"Exploratory diagnostic; no causal subgroup claim."
Kitagawa partitions,descriptive decomposition,revision-stage design,2026-08-22; frozen before revised reanalysis,Yes,revision-stage secondary descriptive analysis,"Four complete alternative partitions: subtype severity entity position and certificate complexity. Priority ontology was frozen before revised estimation.",k80_kitagawa_decomposition.csv,"Separate accounting identities; not causal mediation and not additive across partitions."
Destination ontology,secondary descriptive analysis,revision-stage design,2026-08-22; frozen before corrected rescan,Yes,revision-stage secondary descriptive analysis,"Nine mutually exclusive categories were fixed before the corrected 26-year rescan. The zero-padded 113-cause parser was corrected and all years rescanned.",ucd_destination_annual.csv; ucd_destination_contrasts.csv,"Recorded UCD allocation; not biological substitution."
Cross-disease benchmark,internal NCHS benchmark,revision-stage design,2026-08-22; frozen before revised benchmark scan,Yes,revision-stage exploratory benchmark,"I21 C18 E10-E14 N18 and A40-A41 boundaries were selected before their benchmark files were analyzed. Added after the original K80 analysis.",cross_disease_standardized_contrasts.csv,"Within-condition direction only; no cross-disease magnitude ranking or external validation."
Kitagawa joint bootstrap,inference extension,2026-08-23; post-review extension,Yes,post-review inferential extension,"Added after methodological review requested joint uncertainty. Endpoint-year multinomial resampling re-estimated both components jointly; seed 20260823 and 100000 replicates.",k80_kitagawa_decomposition_uncertainty.csv,"Quantifies conditional resampling stability of descriptive components; not causality."
Destination max-t simultaneous intervals,inference extension,2026-08-23; post-review extension,Yes,post-review inferential extension,"Added after review identified compositional multiplicity. Joint stratified multinomial bootstrap used 100000 replicates and max-t 95% family-wise intervals; seed 20260823.",ucd_destination_contrasts_simultaneous.csv,"All nine categories are one family; nominal intervals are reference only."
Population-rate reconciliation,external aggregate validation,revision-stage design,2026-08-22; queries archived before revised reporting,Yes,revision-stage validation,"CDC WONDER MCD/UCD aggregate checks and age-adjusted population rates were used to distinguish population and disease-conditional denominators.",wonder_rates.csv; evidence/wonder_query_xml,"Not a substitute for direct conditional UCF standardization."
Race and institutional windows,secondary descriptive module,revision-stage design,2026-08-23; corrected full raw reanalysis,"Bridged and Race Recode 40 regimes were kept separate; official Race Recode 40 at 489–490 was mapped into six groups and 2021 group-specific A/B totals close to the annual main table. COVID and MedCoder are context windows only.",race_ucf_annual.csv; missingness_and_field_audit.csv; era_break_evidence.csv,"No imputation, causal interruption, or continuous cross-regime race trend."
